"","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","age_grp"
"11","Age 31","Gender Male","Country United States","state OH","self_employed NA","family_history No","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"12","Age 29","Gender Male","Country Bulgaria","state NA","self_employed NA","family_history No","treatment No","work_interfere Never","no_employees 100-500","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Yes","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"13","Age 42","Gender Female","Country United States","state CA","self_employed NA","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Yes","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical No","obs_consequence Yes","age_grp 41-55"
"14","Age 36","Gender Male","Country United States","state CT","self_employed NA","family_history Yes","treatment No","work_interfere Never","no_employees 500-1000","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"15","Age 27","Gender Male","Country Canada","state NA","self_employed NA","family_history No","treatment No","work_interfere Never","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"16","Age 29","Gender Female","Country United States","state IL","self_employed NA","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"17","Age 23","Gender Male","Country United Kingdom","state NA","self_employed NA","family_history No","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 22-25"
"18","Age 32","Gender Male","Country United States","state TN","self_employed NA","family_history No","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"19","Age 46","Gender Male","Country United States","state MD","self_employed Yes","family_history Yes","treatment No","work_interfere Sometimes","no_employees 1-5","remote_work Yes","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Yes","seek_help Don't know","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence Yes","age_grp 41-55"
"20","Age 36","Gender Male","Country France","state NA","self_employed Yes","family_history Yes","treatment No","work_interfere NA","no_employees 6-25","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program Yes","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"21","Age 29","Gender Male","Country United States","state NY","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity No","leave Somewhat difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 26-30"
"22","Age 31","Gender Male","Country United States","state NC","self_employed Yes","family_history No","treatment No","work_interfere Never","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Somewhat difficult","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"23","Age 46","Gender Male","Country United States","state MA","self_employed No","family_history No","treatment Yes","work_interfere Often","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 41-55"
"24","Age 41","Gender Male","Country United States","state IA","self_employed No","family_history No","treatment Yes","work_interfere Never","no_employees More than 1000","remote_work No","tech_company No","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"25","Age 33","Gender Male","Country United States","state CA","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Don't know","seek_help Yes","anonymity Yes","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"26","Age 35","Gender Male","Country United States","state TN","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program No","seek_help Don't know","anonymity No","leave Very easy","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Yes","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"27","Age 33","Gender Male","Country United States","state TN","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 1-5","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"28","Age 35","Gender Female","Country United States","state CA","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"29","Age 34","Gender Male","Country United States","state OH","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Somewhat difficult","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"30","Age 37","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 36-40"
"31","Age 32","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 6-25","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Yes","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"32","Age 31","Gender Male","Country United States","state PA","self_employed Yes","family_history Yes","treatment No","work_interfere Rarely","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 31-35"
"33","Age 30","Gender Male","Country United Kingdom","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 500-1000","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"34","Age 42","Gender Male","Country United States","state WA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"35","Age 40","Gender Female","Country United States","state WI","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 36-40"
"36","Age 27","Gender Male","Country United States","state NY","self_employed No","family_history No","treatment Yes","work_interfere Rarely","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"37","Age 29","Gender Male","Country Canada","state NA","self_employed No","family_history No","treatment No","work_interfere Rarely","no_employees 1-5","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"38","Age 38","Gender Male","Country Portugal","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 100-500","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 36-40"
"39","Age 50","Gender Male","Country United States","state IN","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"40","Age 35","Gender Male","Country United States","state TX","self_employed No","family_history No","treatment Yes","work_interfere Rarely","no_employees More than 1000","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help Yes","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"41","Age 24","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Yes","mental_vs_physical No","obs_consequence Yes","age_grp 22-25"
"42","Age 35","Gender Male","Country United States","state MI","self_employed No","family_history No","treatment No","work_interfere NA","no_employees More than 1000","remote_work Yes","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Don't know","seek_help Yes","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Yes","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"43","Age 27","Gender Male","Country Canada","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"44","Age 18","Gender Male","Country Netherlands","state NA","self_employed No","family_history No","treatment No","work_interfere Often","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp minnor"
"45","Age 30","Gender Male","Country United States","state IN","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"46","Age 38","Gender Female","Country United States","state TX","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help Yes","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 36-40"
"47","Age 28","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence Maybe","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"48","Age 34","Gender Male","Country United States","state TN","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"49","Age 26","Gender Male","Country Canada","state NA","self_employed Yes","family_history No","treatment No","work_interfere Sometimes","no_employees 1-5","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program Yes","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"50","Age 30","Gender Male","Country United States","state IL","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"51","Age 22","Gender Male","Country United States","state TX","self_employed No","family_history Yes","treatment Yes","work_interfere Often","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"52","Age 33","Gender Male","Country United States","state UT","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 100-500","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"53","Age 31","Gender Male","Country United States","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 100-500","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"54","Age 32","Gender Male","Country United States","state TN","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 1-5","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"55","Age 28","Gender Male","Country Switzerland","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 100-500","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"56","Age 27","Gender Male","Country United States","state NY","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"57","Age 32","Gender Male","Country United States","state TN","self_employed No","family_history Yes","treatment No","work_interfere NA","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"58","Age 24","Gender Male","Country United States","state NY","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence Maybe","coworkers Some of them","supervisor Yes","mental_health_interview Yes","phys_health_interview Yes","mental_vs_physical No","obs_consequence No","age_grp 22-25"
"59","Age 26","Gender Male","Country United States","state TN","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 26-100","remote_work No","tech_company No","benefits No","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"60","Age 33","Gender Male","Country Canada","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Often","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity No","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"61","Age 44","Gender Male","Country United States","state IA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence Yes","age_grp 41-55"
"62","Age 26","Gender Female","Country Poland","state NA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Yes","seek_help Yes","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"63","Age 27","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program No","seek_help Yes","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"64","Age 26","Gender Male","Country France","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 26-100","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 26-30"
"65","Age 35","Gender Male","Country Canada","state NA","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
